math,science,english,arts,commerce,coding_skill,communication,creativity,analytical,leadership,interest_tech,interest_science,interest_arts,interest_business,stress_tolerance,career_label
73,77,99,79,47,40,95,77,72,84,50,68,79,57,82,Teacher
73,97,66,56,48,41,71,49,82,89,64,89,25,52,92,Doctor
69,67,67,62,94,63,87,81,89,83,67,54,45,87,78,Entrepreneur
84,87,82,37,49,35,82,57,79,89,58,85,43,43,92,Doctor
99,61,66,49,92,33,58,35,93,73,46,51,26,84,80,Accountant
92,89,66,40,55,70,74,76,91,57,80,76,28,32,55,Mechanical Engineer
83,79,78,41,49,81,74,73,84,41,80,95,21,47,84,Data Scientist
54,59,93,68,60,44,83,84,77,69,49,77,62,37,71,Psychologist
59,45,64,87,40,40,67,91,54,65,63,30,96,60,62,Graphic Designer
89,82,51,32,58,58,73,68,85,60,83,94,24,51,75,Mechanical Engineer
87,85,51,38,60,46,70,63,83,52,96,75,44,58,65,Mechanical Engineer
87,85,75,42,39,31,71,62,72,69,41,98,46,47,77,Doctor
53,72,78,71,46,36,96,69,86,60,46,83,72,47,78,Psychologist
65,51,78,70,87,54,76,84,87,91,71,42,55,82,91,Entrepreneur
78,86,69,57,58,62,66,73,83,48,81,78,21,44,56,Mechanical Engineer
65,58,68,50,88,45,76,92,77,88,77,53,57,90,65,Entrepreneur
89,54,83,28,99,33,76,36,96,45,46,53,32,84,69,Accountant
97,82,59,44,56,77,61,73,75,60,96,81,35,44,62,Software Engineer
66,59,81,74,63,34,83,65,71,77,29,79,57,36,91,Psychologist
87,85,80,47,52,95,70,57,79,71,83,76,22,40,80,Software Engineer
76,60,84,68,55,38,82,76,88,87,53,59,46,71,74,Lawyer
92,73,77,41,62,65,72,69,96,66,89,85,44,62,76,Data Scientist
97,55,78,29,98,40,78,41,84,52,58,57,47,83,58,Accountant
67,58,55,82,54,36,68,87,54,57,75,30,93,57,65,Graphic Designer
83,95,80,32,38,46,83,69,78,63,66,88,47,32,66,Doctor
82,75,74,57,40,81,70,48,98,56,98,86,26,42,70,Software Engineer
64,68,97,45,69,35,89,59,74,74,52,34,42,82,65,Lawyer
93,83,80,45,51,86,69,71,80,50,80,89,43,52,74,Software Engineer
50,59,55,90,53,43,61,96,43,43,67,34,87,47,68,Graphic Designer
60,69,96,63,51,41,91,66,74,84,50,84,64,56,77,Psychologist
91,53,64,34,83,34,64,40,95,68,44,57,27,76,77,Accountant
81,91,80,43,56,92,62,68,94,66,97,63,20,30,85,Software Engineer
64,70,80,57,52,35,82,83,66,85,56,55,64,54,74,Teacher
80,89,59,38,35,60,55,63,78,71,81,78,20,48,80,Mechanical Engineer
65,72,99,50,45,25,95,69,71,79,57,65,72,36,57,Teacher
63,42,65,88,49,35,60,87,42,49,57,34,94,35,78,Graphic Designer
84,86,59,58,47,55,71,70,82,52,87,87,46,31,84,Mechanical Engineer
91,49,82,33,88,51,64,51,93,45,41,33,20,89,62,Accountant
99,92,70,38,69,75,61,65,92,66,89,98,35,61,75,Data Scientist
70,70,97,71,42,33,99,74,73,79,34,71,75,52,84,Psychologist
87,78,79,54,47,82,76,51,75,50,86,70,36,62,85,Software Engineer
